id	B8011	B8012	B8013	LF11	LF12	LF13	B8021	B8022	B8023	LF21	LF22	LF23	classification
3-hydroxy-3-methylglutaric acid	0	0	0	0	0	0	8117.325	6707.88	7412.6025	43094.469	22986.675	27157.765	others
3-Hexenedioic acid	178982.538	262937.306	257436.076	925961.082	1069717.5	884247.198	42526.447	33288.342	45425.359	891668.331	593097.481	614649.585	short chain carbon organic acids
3-Aminoisobutyric acid 1	10763.872	78559.446	88039.786	27480.932	34943.62	33324.759	52096.471	55525.217	73880.582	109157.115	92123.854	105552.292	others
"3,6-Anhydro-D-galactose 4"	17015.339	30113	31609.392	68480.606	90716.536	65439.675	1569.782	2035.61	1802.696	48342.876	33486.395	30494.398	sugars
3-(4-hydroxyphenyl)propionic acid	147812.16	211052.207	202947.28	120574.71	134022.274	105751.433	62671.274	43204.975	71141.517	73908.39	51622.519	56509.461	others
2-Monopalmitin	245709.495	204103.268	170885.321	669100.655	678219.158	614599.934	132488.526	105850.446	123546.503	295389.072	121502.687	154595.392	esters
2-Methylglutaric Acid	13945.711	16188.692	17880.625	48244.579	39934.911	27362.947	234.537	1122.236	839.185	54109.094	31196.586	35128.662	short chain carbon organic acids
2-methylfumarate	0	0	0	217414.659	282349.792	207325.783	0	0	0	0	0	0	esters
2-Ketovaleric acid 2	25689.517	26209.728	25169.306	0	0	0	26086.558	28568.413	31050.268	0	0	0	others
2-ketoadipate 3	0	0	0	36217.855	40134.244	34238.284	0	0	0	0	0	0	esters
2-Indanone	265033.2935	284400.663	245665.924	236671.603	409992.991	224156.753	156540.5	204461.076	161498.919	315309.333	113543.734	126049.917	others
2-hydroxypyridine	26091.075	31919.067	31603.366	22987.512	29575.247	26281.3795	38649.218	21607.552	41590.414	44165.583	38824.773	35139.383	others
2-Deoxyuridine	0	0	0	21245.803	23304.921	17417.654	0	0	0	32000.974	24004.85	20238.785	others
2-Deoxytetronic acid	11291.104	17717.756	20082.204	19791.936	22453.451	22922.893	10912.237	8370.938	7905.259	19971.82	14020.057	17105.752	short chain carbon organic acids
2-Deoxyerythritol	3264377.75	4364624.2	4323552.76	9184284.92	9176807.84	7816466.31	820729.638	473079.233	823465.633	2368396.77	1563523.26	1597132.95	alcohols
2-deoxy-D-glucose 2	243.042	15297.307	16077.35	19260.202	18286.822	13836.215	0	0	0	6210.2345	5969.864	6450.605	sugars
2-Deoxy-D-galactose 2	0	0	0	35446.623	31840.739	33643.681	0	0	0	40506.748	22287.7	26028.469	sugars
2-amino-3-(4-hydroxyphenyl)propanoic acid 1	40047.3435	41382.941	38711.746	0	0	0	21304.218	20681.9735	20059.729	43648.768	36594.186	29166.743	others
"2,4-diaminobutyric acid 3"	0	0	0	23009.825	36342.18	39141.796	0	0	0	0	0	0	others
"2,4,6-Trihydroxybenzophenone"	0	0	0	7966.331	7619.421	8313.241	0	0	0	5698.949	4049.677	5515.823	others
"2,3-Dimethylsuccinic acid"	120161.431	258009.057	241342.347	199546.721	245615.339	240668.545	230569.347	215615.988	291107.318	0	0	0	short chain carbon organic acids
"2,3-Dihydroxypyridine"	36614.2235	34250.796	38977.651	260798.142	259105.752	262610.115	24089.011	23736.063	27638.718	32501.18	29059.637	30182.918	others
"2,2-Dimethylsuccinic Acid"	0	0	0	13726.108	12925.818	12125.528	0	0	0	0	0	0	short chain carbon organic acids
1-Monopalmitin	866213.518	787473.312	783165.33	1684559.82	2304300.09	1600497.61	539769.417	534383.497	557993.856	1019743.4	585311.443	589455.4	esters
1-Hexadecanol	2165.166	1030.62	1597.893	28350.659	20908.782	21550.937	0	0	0	18882.611	7821.475	13352.043	alcohols
"1,2,4-Benzenetriol"	0	0	0	26566.8415	25724.82	27408.863	13273.738	16483.278	22469.757	24763.829	24315.577	35471.166	alcohols
"(2R,3S)-2-hydroxy-3-isopropylbutanedioic acid"	0	0	0	79112.19	87018.073	78272.124	0	0	0	42234.582	38078.503	27609.388	others
(2R)-2-amino-3-phosphonopropanoic acid 1	0	0	0	0	0	0	0	0	0	26497.08	17281.43	16645.564	others
